Region,Station,Longitude,Latitude
AECI,PKNA,-90.6358,37.6235
AECI,POPBLUFF,-90.36,36.84
AECI,PUXICO,-90.02,36.93
AECI,QULIN,-90.39,36.61
AECI,REYNOLD3,-91.08,37.42
AECI,ROMBAUER,-90.29,36.85
AECI,ST_JUDE,-89.68,36.52
AECI,VANBURE3,-90.9058,37.0262
AECI,WHTWATER,-89.882,37.2589
AECI,2MEMPHIS,-92.1663,40.4897
AECI,ARBELA,-91.6807,40.4079
AECI,AVRYAECI,-92.71,41.07
AECI,AXTELL,-92.4995,39.7663
AECI,BARING,-92.1343,40.2635
AECI,BATAVIA,-92.12,40.94
AECI,BELKNAP,-92.4256,40.8169
AECI,BELLTOWN,-91.8124,39.7738
AECI,BLKNP_TP,-92.4256,40.8169
AECI,BLOOM,-92.4025,40.7517
AECI,BONAPART,-91.77,40.64
AECI,BYNUMVIL,-92.7852,39.6406
AECI,C_CLUB,-91.544,40.9871
AECI,CAIRO,-92.4094,39.5118
AECI,CAN_DAM,-91.6432,39.5269
AECI,CANTON,-91.5555,40.1231
AECI,CANTW2,-91.5661,40.1623
AECI,CENTER,-91.528,39.5036
AECI,CHRSTNBR,-92.5171,41.0095
AECI,CNTN_TAP,-91.5774,40.0887
AECI,CONNLSVL,-92.6679,40.2776
AECI,CTRY_CLB,-91.65,40.98
AECI,DAVIS,-92.4108,40.7082
AECI,DENMARK2,-91.3332,40.7436
AECI,DRAKEVL,-92.3388,40.7971
AECI,EMERSON,-91.86,39.93
AECI,FLORIS,-92.2581,40.8626
AECI,HAGRSGRV,-92.2,39.85
AECI,HANNIBA2,-91.36,39.71
AECI,HARIS_TP,-91.7548,40.6881
AECI,HARISBRG,-91.7733,40.7706
AECI,HART,-92.8679,39.8474
AECI,HASSARD,-91.6966,39.6206
AECI,HUNN,-91.8098,39.6733
AECI,HUNTSVL,-92.5667,39.5064
AECI,KAHOKA,-91.7482,40.4209
AECI,KEOSAQUA,-91.85,40.67
AECI,KIRKSVL,-92.6093,40.1462
AECI,LAKENAN,-92.0136,39.7184
AECI,LANCAST2,-92.5295,40.4973
AECI,LAPL_CTY,-92.4891,40.034
AECI,LAPL_SPL,-92.4891,40.034
AECI,LAPLT_TP,-92.5294,40.0167
AECI,LETNER,-92.1474,39.6774
AECI,LEWISTWN,-91.7949,40.0933
AECI,LOCKRDGE,-91.7317,41.0025
AECI,LOVELAKE,-92.4943,39.9553
